,Zip Code,City,County,Households,<10k,10k - 15k,15k - 25k,25k - 35k,35k - 50k,50k - 75k,75k - 100k,100k - 150k,150k - 200k,200k+,Median Income ($),Mean Income ($)
175,91016,Monrovia,Los Angeles,14699,4.7,4.1,8.3,7.3,11.9,17.2,12.2,19.0,7.1,8.2,67868.0,94039.0
176,91020,Montrose,Los Angeles,3345,5.2,5.1,8.4,6.3,14.9,16.4,11.5,22.6,5.7,3.9,70014.0,79115.0
177,91024,Sierra Madre,Los Angeles,4403,2.5,3.0,5.2,5.3,6.5,15.3,14.4,19.9,8.8,19.2,95256.0,128261.0
178,91030,South Pasadena,Los Angeles,10150,5.1,2.2,5.9,4.7,10.4,15.4,13.9,15.7,10.3,16.4,84683.0,122796.0
179,91040,Sunland,Los Angeles,7236,4.7,6.0,8.2,8.5,12.1,13.0,12.6,19.7,7.6,7.8,70841.0,86433.0
180,91042,Tujunga,Los Angeles,10008,6.1,6.1,9.9,11.2,15.7,15.3,12.3,13.1,5.2,5.0,51461.0,71919.0
181,91046,Verdugo City,Los Angeles,111,0.0,23.4,37.8,26.1,0.0,0.0,0.0,12.6,0.0,0.0,20417.0,31324.0
182,91101,Pasadena,Los Angeles,10745,12.1,7.5,7.8,4.9,8.3,17.1,13.7,16.0,6.5,5.9,61473.0,78033.0
183,91103,Pasadena,Los Angeles,8381,6.8,5.9,10.7,9.8,9.6,14.6,11.8,13.6,7.0,10.3,62697.0,98669.0
184,91104,Pasadena,Los Angeles,13081,5.8,5.6,10.2,5.1,11.6,14.4,11.3,14.8,8.9,12.3,70208.0,96708.0
185,91105,Pasadena,Los Angeles,5485,4.6,2.2,4.3,5.0,7.1,14.9,9.5,14.6,14.5,23.3,107284.0,160315.0
186,91106,Pasadena,Los Angeles,10540,7.0,4.1,5.8,6.7,9.4,16.7,13.8,17.3,7.2,11.8,75160.0,114285.0
187,91107,Pasadena,Los Angeles,12502,5.8,4.5,4.8,6.5,8.3,15.0,11.0,19.0,9.5,15.5,84663.0,119215.0
188,91108,San Marino,Los Angeles,4778,8.6,1.7,3.3,2.9,4.6,7.5,9.6,14.5,11.9,35.5,141739.0,210931.0
189,91201,Glendale,Los Angeles,8247,4.7,7.0,15.4,7.3,12.5,17.3,10.1,14.5,4.9,6.2,54603.0,79083.0
190,91202,Glendale,Los Angeles,8768,4.7,5.3,13.6,6.9,10.7,15.6,12.0,15.8,6.8,8.6,62104.0,86662.0
191,91203,Glendale,Los Angeles,4950,6.7,6.7,15.2,10.2,11.9,15.2,12.4,13.3,4.9,3.7,48849.0,67969.0
192,91204,Glendale,Los Angeles,6002,8.3,9.2,15.1,9.0,16.5,16.4,10.3,9.0,3.0,3.0,41586.0,56070.0
